ID,Format,Topic,Difficulty,Question,Answer,Used,Freshness,ID Search,Answer Search,,,,,,,,,,,,,,,,,,,,,,
Q1019,Open,Fashion,4,What 1992 film featureing Goldie Hawn and Meryl Streep competing for the affection of a mortician has now been made into a hit Broadway musical?,Death Becomes Her,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1020,Open,Fashion,3,This imitation gemstone was originally named for a crystal found in the Alps and Germany,Rhinestone,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1021,Open,Fashion,2,Who recently announced the end of their 37 year run as Vogue's editor in chief?,Anna Wintour,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1022,Multi,Fashion,3,"Founded after WWII, which French Fashion house pioneered the ""New Look"" with their A-Line and H-Line dresses: Chanel, Dior, or Yves Saint Laurent?",Dior,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1023,Open,Fashion,3,"What is the French word referring to an artists workshop and now is used to describe fashion houses, design firms, and art schools?",Atelier,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1024,T/F,Fashion,3,Is Genuine Leather higher or lower grade than Full Grain?,Lower ,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1025,Open,Fashion,2,This famous street connects Broadway and Water Street in NYC,Wall Street,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1026,Open,Fashion,2,Which designer is credited with popularizing the Polo in the US?,Ralph Lauren,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1027,Open,Fashion,1,This blue dye gives demin is unique color,Indigo,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1028,Open,Fashion,1,"Which European capital is known as ""The City of Lights""",Paris,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1029,Open,Fashion,2,What natural fiber is produced from the flax plant?,Linen,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1030,Open,Food/Drink,3,"Which cookie was made first: Nilla Wafer, Oreo, Chocolate Chip",Nilla Wafer,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1031,Open,Food/Drink,3,What common pirate item would Sailors use to test (or proof) their rum?,Gunpowder,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1032,Open,Food/Drink,3,Which Sweet Roll was invented in Portugal despite having a more american sounding name?,Hawaiian Roll,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1033,Open,Food/Drink,3,What coffee drink is named for a port city in Yemen?,Mocha,June 2 26,14,Not Found,June 2 26,,,,,,,,,,,,,,,,,,,,,,
Q1034,Open,Food/Drink,3,Oak trees in Portugal are the world's primary source of what essential part of winemaking?,(the) Cork,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1035,T/F,Food/Drink,3,"According to the National Coffee Association, do more or less than 60% of adults drink coffee daily?",More (66%),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1036,Multi,Food/Drink,2,"Which geographic food item was actually invented where it is named for: California Roll, Lobster Bisque, Cuban Sandwich, or London Fog?",Lobster Bisque (Bay of Biscay),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1037,Open,Food/Drink,2,Frangipane and Marzipan are french pastiserie specialties both made from what nutty ingredient?,Almond,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1038,Open,Food/Drink,1,Roquefort Cheese is made from what animal's milk?,Sheep,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1039,Open,Food/Drink,4,The 1516 Bavarian Reinheitsgebot regulated the ingredients of which beverage?,Beer,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1040,Open,Food/Drink,2,Which plant is the base for traditional mezcal and tequila production?,Agave,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1041,Open,Geography,4,Which tiny European country is landlocked between Spain and France and was believed to have been founded by Charlemagne?,Andorra,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1042,Open,Geography,4,What river flows through Berlin?,Spree,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1043,Open,Geography,4,"The highest point in the contiguous US, Mt. Whitney, is in which state?",California,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1044,Open,Geography,3,What is the densest major city in North America [by population within its urban area]?,Toronto,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1045,Open,Geography,2,What is the largest lake of the Great Lakes?,Superior,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1046,Open,Geography,1,"Four Corners Monument marks the boundary, or Quadripoint, of which four US states?","Colorado, New Mexico, Utah, Arizona",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1047,Multi,Geography,3,"Which City is closest to the Equator: Rio De Janiero, Singapore, or Kuala Lumpur?",Singapore,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1048,Open,Geography,3,Which state has the most miles of the Appalachian Trail?,Virginia,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1049,Multi,Geography,4,"Which trail is longest: Appalachian Trail, Pacific Crest Trail, or Continental Divide Trail?",Continental Divide Trail,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1050,Open,Geography,3,Which strait separates Asia from North America between Russia and Alaska?,Bering Strait,July 7 26,9,Not Found,July 7 26,,,,,,,,,,,,,,,,,,,,,,
Q1051,Open,Geography,2,What massive African lake is considered a principal source of the White Nile?,Lake Victoria,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1052,Open,Geography,2,"What term describes a long, narrow coastal inlet with steep sides carved by glacial activity?",Fjord,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1053,T/F,Geography,3,Is the tallest mountain in the Americas located in North or South America?,South,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1054,Open,Geography,2,What desert covers much of Mongolia and northern China?,Gobi,June 2 26,14,Not Found,June 2 26,,,,,,,,,,,,,,,,,,,,,,
Q1055,Open,Geography,4,What strait separates Europe from Asia between Turkiye's continental sides?,Bosphorus,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1056,Open,Geography,1,What is the largest island in the Mediterranean Sea?,Sicily,Jan 21 26,33,Not Found,Jan 21 26,,,,,,,,,,,,,,,,,,,,,,
Q1057,Open,Geography,2,What mountain range forms the border between Europe and Asia in Russia?,Ural Mountains,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1058,Open,Geology,4,What is the name for the type of rock formed from cooled magma or lava?,Igneous Rock,July 7 26,9,Not Found,July 7 26,,,,,,,,,,,,,,,,,,,,,,
Q1059,Open,Geology,4,"What is the middle layer of the Earth, beneath the crust and above the core?",Mantle,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1060,Open,Geology,4,Which geologic period is associated with an evolutionary burst known as the “explosion” that produced many animal species?,Cambrian Explosion,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1061,Open,Geology,4,What aluminum ore (technically a rock) is the primary source of that metal?,Bauxite,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1062,Open,Geology,3,"True or False, P waves are the First to arrive to a seismograph.",True,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1063,Open,Geology,2,What is the name of the world’s deepest oceanic trench?,Marianas Trench,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1064,Open,High Art,4,Which classic Herman Melville novel was the inspiration for the name of the coffee chain Starbucks?,Moby Dick,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1065,Open,High Art,2,"Ralph Ellison's ""Invisible Man"" takes place in what part of Manhattan that's named for the capital of North Holland?",Harlem,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1066,Open,High Art,2,William Shakespeare's wife shares her name with what Academy Award winning actress?,Anne Hathaway,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1067,Open,High Art,3,"Where does the winding road trip in George Steinbeck's masterpiece novel ""The Grapes of Wrath"" end?",California,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1068,Open,States,3,"To Kill a Mockingbird, Harper Lee's novel, was set in which state?",Alabama,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1069,Open,High Art,2,What 1985 dystopian novel by Margaret Atwood imagines a theocratic state called Gilead?,The Handmaid's Tale,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1070,Open,High Art,2,"What is the term for a painting that depicts inanimate objects like fruit, flowers, or everyday items?",Still-Life,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1071,Open,High Art,4,"What pigment, historically made from ground lapis lazuli, was once more valuable than gold?",Ultramarine,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1072,Open,High Art,1,"What is the process of creating images using small pieces of glass, stone, or tile called?",Mosaic,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1073,Open,High Art,5,"Before the invention of Oil Paints, painters would use often pigment suspended in what breakfasty item?",Egg / Egg Yolk,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1074,Open,High Art,2,Which American pop artist created silkscreen images of Campbell’s soup cans?,Andy Warhol,June 2 26,14,Not Found,June 2 26,,,,,,,,,,,,,,,,,,,,,,
Q1075,Open,High Art,1,"What is the term for a fourteen-line poem with a strict rhyme scheme, often used by Shakespeare?",Sonnet,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1076,Open,High Art,1,"What is the term for a long narrative poem celebrating heroic deeds, like The Iliad?",Epic,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1077,Open,High Art,3,What is the term for the group of performers who comment on the action in Greek tragedy?,The Chorus,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1078,Open,High Art,1,"What is the term for a structure’s outward appearance or “face,” often its front?",Facade,Not Found,Fresh,Aug 4 26,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1079,Open,High Art,2,Which German design school founded in 1919 combined crafts and fine arts while emphasizing modern and functional design?,Bauhaus,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1080,Open,High Art,3,"Which architect created “organic architecture,” including Fallingwater in Pennsylvania?",Frank Lloyd Wright,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1081,Open,High Art,3,What is the term for an ornamental tower often associated with Islamic architecture?,Minaret,Jan 21 26,33,Not Found,Jan 21 26,,,,,,,,,,,,,,,,,,,,,,
Q1082,Open,Linguistics,4,The word Tattoo comes to English from what Polynesian language?,Samoan,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1083,Open,Linguistics,1,"Which is not a ""Romance"" language: Portuguese, Romanian, or English?",English,June 2 26,14,Not Found,June 2 26,,,,,,,,,,,,,,,,,,,,,,
Q1084,Open,Linguistics,2,Which alphabet is used to write the Russian language?,Cyrillic,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1085,Open,Linguistics,3,"What is the linguistic term for combining two words into one, like brunch or smog?",Portmanteau,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1086,Open,Linguistics,2,Which African language gave us English words like zebra and safari?,Swahili,Not Found,Fresh,Aug 4 26,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1087,Open,Linguistics,5,"In English grammar, what is the past participle of swim?","Swum, NOT SWAM",March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1088,Open,Linguistics,2,What is the term for a word that is spelled the same forward and backward?,Pallindrome,May 5 26,18,Not Found,May 5 26,,,,,,,,,,,,,,,,,,,,,,
Q1089,Open,Linguistics,4,"What is the term for a figure of speech in which contradictory terms appear together, like “bittersweet”?",Oxymoron,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1090,Open,Low Art,4,"What famous characters from 1977's Star Wars were directly stolen/lifted from the iconic Kurosawa Film, ""The Hidden Fortress""?",C3PO and R2D2 (The Droids),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1091,Open,Low Art,3,"How many books are in ""The Chronicles of Narnia"" series?",7,Jan 21 26,33,Not Found,Jan 21 26,,,,,,,,,,,,,,,,,,,,,,
Q1092,Open,Low Art,4,Which 1999 sci-fi film popularized the “bullet time” visual effect?,The Matrix,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1093,Open,Low Art,2,"Which 2019 Korean film won Best Picture at the Academy Awards, the first non-English film to do so?",Parasite,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1094,Open,Low Art,3,Who created the detective Sherlock Holmes?,Sir Arthur Conan Doyle,June 2 26,14,Not Found,June 2 26,,,,,,,,,,,,,,,,,,,,,,
Q1095,Open,Low Art,5,What is the term for the secondary character in a story?,Deuteragonist,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1096,Open,Low Art,4,Which actor is famous for the “Man with No Name” roles in Sergio Leone’s spaghetti westerns?,Clint Eastwood,July 7 26,9,Not Found,July 7 26,,,,,,,,,,,,,,,,,,,,,,
Q1097,Open,Low Art,3,What was the first feature-length cel-animated film to be illustrated in the United States?,Snow White and the Seven Dwarves,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1098,Open,Low Art,3,Which 2024 film had a higher worldwide gross: Barbie or Oppenheimer?,Barbie,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1099,Open,Music,2,"How many units must a music album sell to be receive a ""Gold"" designation from the RIAA?","500,000",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1100,Open,Music,1,What iconic location is both the title of an ABBA song and a train hub in London?,Waterloo,July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1101,Open,Music,3,What is the musical term for a gradual increase in loudness?,Crescendo,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1102,Open,Music,5,What differentiates a Piano and a Harpsichord?,Plucking vs. Hammering strings,July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1103,Open,Music,1,What is the word for the style of singing without instrumental accompaniment?,Acapella,July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1104,Open,Music,3,"What is the word for a rhythmic emphasis on normally weak beats, common in jazz and hip hop?",Syncopation,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1105,Open,Music,4,What is the musical term for simultaneous use of two or more conflicting rhythms?,Polyrythmic,July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1106,Open,Music,3,What word describes a musician who plays anonymously for hire while recording?,Session,July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1107,Open,Music,1,"According to Blues Traveler, what is the slang term for the main repeated part of a song that is designed to be catchy?",Hook (it brings you back),July 14 26,8,Not Found,July 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1108,Open,Music,3,What is the word for a single song released outside of an album cycle?,"Loosie, Standalone, or Orphan (Single)",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1109,Open,Religion/Myth,2,"In Greek mythology, who is the god of the sea?",Poseidon,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1110,Open,Religion/Myth,2,"In Roman mythology, who is the god of the sea?",Neptune,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1111,Open,Religion/Myth,2,"In Greek myth, who was doomed to roll a boulder up a hill for eternity?",Sisyphus,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1112,Open,Religion/Myth,2,"In Greek myth, who was condemned to hold the earth upon his shoulders for eternity?",Atlas,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1113,Open,Religion/Myth,4,"In Slavic folklore, who is the witch who lives in a hut standing on chicken legs?",Baba Yaga,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1114,Open,Poorly Described Movie,3,"What 2004 movie can be poorly described as ""A groom meets his in-laws, gets a makeover, and adopts a stray cat""?",Shrek 2 ,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1115,Open,Poorly Described Movie,3,"What 2000 movie can be poorly described as ""A wicked ruler of an ancient kingdom is betrayed by his closest advisor, only to be saved by a lowly shepard. "" ",The Emperor's New Groove,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1116,Open,Poorly Described Movie,4,"What 2010 film can be poorly described as, ""A man attempts to gaslight his wife, boss, and a billionaire's son in the hopes of getting a green card""",Inception,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1117,Open,Poorly Described Movie,2,"What 2004 film can be poorly described as, ""A fanatical cultist commits several acts of terrorism in order to find Benjamin Franklin's eyeglasses""",National Treasure,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1118,Open,Poorly Described Movie,3,"What 2005 movie can be poorly described as, ""Celebrating a recent promotion, an alcoholic man plays a bunch of poker, gets drugged, loses all his money, and attracts the attention of international gangsters""",Casino Royale,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1119,Open,Pop Culture,5,"After a 66 year hiatus, which brand of Wrigley chewing gum was reintroduced to the American market in 2001 by a cheery British Spokesperson?",Orbit,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1120,T/F,Pop Culture,4,"Which has sold more consoles across all varieties, PlayStation or Xbox?",PlayStation,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1121,Multi,Pop Culture,3,"Which of these IS NOT a Tarot Card in a typical 78-card tarot deck: The Devil, The High Priestess, The Bishop, or The Fool?",The Bishop,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1122,Open,Pop Culture,3,"USPS unveiled a new Forever stamp featuring this actress known as the ""First Lady of Television""",Betty White,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1123,Open,Pop Culture,3,This BAFTA winning actress has portrayed Mary Poppins and Queen Victoria & recently has starred in two of her husband's horror films  ,Emily Blunt,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1124,Multi,Pop Culture,2,"Which of these locations has NOT hosted a ""Real Housewives"" spinoff: New Jersey, Salt Lake City, Potomac, or Hollywood",Hollywood,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1125,Open,Pop Culture,2,"What city was The Black Dahlia, aka Elizabeth Short, found murdered in?",Los Angeles,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,/
Q1126,Open,Pop Culture,2,Which British musician created the glam-rock alter ego “Ziggy Stardust”?,David Bowie,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,/
Q1127,Open,Pop Culture,4,Which sci-fi film is based on Philip K. Dick’s novel “Do Androids Dream of Electric Sheep?”,Blade Runner,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1128,Open,Space,4,"Also known as ""The Seven Sisters"" what constellation makes up the Subaru logo?",(The) Pleiades,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1129,Open,Space,4,What is the official term for the spring equinox?,Vernal Equinox,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1130,T/F,Space,3,True or False: the year 2100 will be a leap year.,"False, but 2000 was",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1131,Open,Space,4,"What is the apparent backward motion of a planet against the stars, often discussed in popular astrology?",Retrograde,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1132,Open,Space,3,What is the outermost layer of the sun?,Corona,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1133,Open,Space,4,"Which pair of NASA spacecraft, launched in 1977, carry a “Golden Record” of Earth’s sounds and images?",Voyager (I and II),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1134,Open,Space,1,"Which space telescope, launched in 1990, transformed astronomy with deep-field images?",Hubble Space Telescope,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1135,Open,Space,2,Which billionaire launched the first crewed Blue Origin flight in July 2021?,Bezos,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1136,Open,Space,4,What is the only planet in the solar system that rotates on its side relative to its orbit?,Uranus,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1137,Open,Space,2,What is the name of the nearest large spiral galaxy to the Milky Way?,Andromeda,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1138,Open,Space,3,Which atmospheric layer contains most weather?,Troposphere,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1139,Multi,Sports/Games,4,"Which of these horses did NOT win the Triple Crown: Secretariat, Seabiscuit, American Pharaoh, or War Admiral?",Seabiscuit,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1140,Multi,Sports/Games,3,"What is the heaviest and longest sword used in olympic fencing: Epee, Sabre, or Foil?",Epee,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1141,Open,Sports/Games,3,What horse race involves jumping over fences and ditches and is named for a church's architectural feature?,Steeplechase,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1142,Open,Sports/Games,3,Which of the four Tennis (Grand Slam) Major Championships was the first to offer equal prize money to men and women?,US Open,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1143,Open,Sports/Games,4,What three colors is the official WNBA basketball?,"Orange, White & Black",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1144,Open,Sports/Games,4,Which soccer legend scored the controversial “Hand of God” goal in the 1986 World Cup quarterfinal?,"Maradona, Diego",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1145,Multi,Sports/Games,2,"Which NFL Franchise actually plays its home games in the same location as its team name: Dallas Cowboys, San Francisco 49ers, Buffalo Bills, or Indianapolis Colts?",Colts baybee Andy Luck dang talk about TY Hilton man that dude could run dang ole Joseph addai won us the superbowl in 06 I'll tell you hwat Griff Whalen was rooommates at stanford with Luck,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
